day,Q-E,PH-E,DBO-E,DQO-E,SS-E,SED-E,COND-E,DBO-S,DQO-S,SS-S,RD-DBO-G
1990-02-13,41150.44,7.07,243.67,506.19,298.37,3.99,1545.32,17.72,60.8,26.59,92.73
1990-02-14,41227.24,7.48,263.26,577.61,230.87,5.22,1990.8,31.61,89.09,25.36,87.99
1990-02-15,40633.81,7.58,266.65,322.27,213.08,4.98,2146.57,27.99,39.51,11.79,89.5
1990-02-16,41103.24,7.23,252.81,577.85,259.17,6.03,1855.68,32.41,102.59,27.63,87.18
1990-02-17,38257.78,7.56,228.74,480.75,268.6,3.68,2099.13,27.62,68.93,39.02,87.93
1990-02-18,40041.95,7.06,230.98,535.52,260.01,4.56,1761.98,18.39,71.26,34.28,92.04
1990-02-19,39684.57,7.9,,394.37,220.92,4.41,1602.89,26.89,64.09,19.51,88.7
1990-02-20,41824.49,7.87,191.31,441.27,300.13,,1928.23,22.53,76.66,32.92,88.23
1990-02-21,43265.22,7.42,257.0,515.17,239.62,2.96,1548.7,37.84,92.92,27.41,85.28
1990-02-22,36091.3,7.61,178.96,491.64,242.05,6.03,1852.05,17.59,56.59,25.63,90.17
1990-02-23,38005.67,6.78,188.62,492.68,210.56,5.2,2157.37,21.46,77.56,20.37,88.62
1990-02-24,36642.18,7.15,255.98,536.63,304.0,2.52,1518.05,30.84,99.76,28.44,87.95
1990-02-25,36545.3,7.41,242.49,342.59,277.35,6.31,1644.1,15.0,42.32,16.87,93.81
1990-02-26,39103.43,7.18,274.92,553.89,288.3,7.85,1693.59,39.76,97.89,41.27,85.54
1990-02-27,45879.14,7.71,223.12,505.84,329.41,6.0,1887.34,37.52,86.64,51.93,83.18
1990-02-28,39201.09,8.1,195.0,496.38,403.22,6.64,1826.86,23.1,74.75,39.36,88.15
1990-03-01,43784.73,7.15,220.78,395.42,192.08,4.63,2179.83,22.73,59.58,17.91,89.71
1990-03-02,34322.98,7.25,222.72,513.5,223.2,2.01,2090.87,14.43,45.94,7.88,93.52
1990-03-03,37445.21,7.57,215.76,297.01,221.02,1.73,1999.05,20.75,41.87,21.09,90.38
1990-03-04,39336.31,7.98,255.33,516.69,213.78,4.88,1929.13,29.29,83.84,28.06,88.53
1990-03-05,42063.07,7.13,,386.28,215.71,3.61,1978.65,20.31,59.74,9.91,90.45
1990-03-06,43892.86,7.57,247.38,,262.84,3.13,1727.6,26.17,60.45,28.36,89.42
1990-03-07,44532.7,8.05,203.08,507.03,224.86,4.41,2071.44,19.96,95.85,22.4,90.17
1990-03-08,40176.9,7.0,247.25,584.84,,5.42,1677.59,33.68,93.72,36.59,86.38
1990-03-09,38316.72,7.12,221.47,470.21,261.52,2.32,2067.08,24.35,74.87,25.79,89.0
1990-03-10,41344.89,7.37,188.9,421.69,273.07,3.83,2137.23,23.6,73.0,33.49,87.51
1990-03-11,38584.04,7.34,209.47,,277.5,6.76,1942.17,20.65,46.07,24.67,90.14
1990-03-12,36775.96,7.74,220.91,583.81,293.83,2.89,,33.23,119.51,41.49,84.96
1990-03-13,38646.57,7.57,227.52,551.49,261.92,5.8,1980.06,26.74,94.39,27.25,88.25
1990-03-14,39670.09,6.97,301.52,492.05,377.36,3.77,1327.7,51.9,105.67,78.98,82.79
1990-03-15,42978.81,7.65,229.8,489.95,284.61,5.32,1960.45,26.35,71.72,19.08,88.53
1990-03-16,40383.7,7.33,214.51,376.38,177.49,6.15,1877.33,14.47,43.77,10.72,93.25
1990-03-17,41083.36,7.88,143.34,,208.33,5.61,1889.87,9.94,70.52,9.95,93.06
1990-03-18,38105.39,7.31,,355.31,178.24,5.86,2041.31,8.9,37.19,11.57,95.26
1990-03-19,41296.0,7.31,219.59,550.23,269.28,2.77,1885.05,20.16,58.41,24.56,90.82
1990-03-20,44128.67,7.66,214.34,525.7,274.95,6.17,1671.96,22.18,74.65,29.4,89.65
1990-03-21,41693.92,7.73,289.17,688.71,262.44,3.22,1871.72,33.58,101.31,20.14,88.39
1990-03-22,43039.16,7.63,228.69,431.91,366.07,4.89,1913.51,30.2,76.57,48.97,86.8
1990-03-23,38140.07,6.99,269.27,481.16,287.42,4.89,1922.99,38.39,94.19,33.75,85.74
1990-03-24,38080.06,7.66,219.95,601.47,,5.23,1932.38,30.85,88.24,41.18,85.97
1990-03-25,38387.08,7.19,221.52,563.83,215.87,5.01,2107.87,18.42,71.55,17.74,91.69
1990-03-26,37365.81,7.57,226.58,450.64,224.65,3.23,1682.79,19.07,59.95,17.77,91.58
1990-03-27,43833.52,7.07,239.28,533.98,283.09,2.48,1935.14,24.65,64.65,19.06,89.7
1990-03-28,41322.18,7.63,301.69,523.21,292.21,5.81,2157.99,51.49,117.79,58.0,82.93
1990-03-29,41802.42,7.26,153.91,529.94,192.84,4.78,1553.08,13.32,73.37,19.84,91.34
1990-03-30,41651.86,7.12,154.68,440.55,255.3,6.22,1935.93,11.32,49.77,26.07,92.68
1990-03-31,40580.22,7.71,199.26,470.29,255.97,4.43,1782.92,19.81,65.56,28.46,90.06
1990-04-01,41587.47,7.57,221.12,369.35,248.58,2.39,1825.86,31.46,65.4,36.91,85.77
1990-04-02,40704.49,7.32,254.15,509.46,233.4,5.95,,26.06,51.3,29.13,89.75
1990-04-03,41136.9,7.94,255.94,550.26,257.44,3.94,,40.15,104.64,41.6,84.31
1990-04-04,42512.99,7.37,228.23,507.44,276.64,5.01,2268.25,31.03,113.43,46.0,86.4
1990-04-05,36712.27,7.51,270.83,,280.54,3.53,1647.11,28.03,54.41,31.94,89.65
1990-04-06,35865.17,7.58,260.77,558.62,290.6,6.97,1666.08,24.26,73.88,17.15,90.7
1990-04-07,35256.98,7.31,224.61,501.85,303.85,3.19,1639.61,32.01,91.15,37.81,85.75
1990-04-08,36571.59,7.64,254.12,430.02,244.78,3.99,2245.48,29.79,65.49,25.33,88.28
1990-04-09,42158.86,7.34,239.27,479.82,249.14,4.66,1807.53,26.52,72.66,30.12,88.91
1990-04-10,39637.54,7.38,219.37,413.01,300.98,2.86,1894.87,18.24,51.29,31.26,91.69
1990-04-11,41552.45,7.91,265.67,450.71,311.55,5.0,,40.99,82.04,52.05,84.57
1990-04-12,45594.36,7.19,238.52,471.64,256.27,6.92,1711.12,30.14,83.57,30.04,87.36
1990-04-13,39047.78,6.78,224.16,574.21,298.21,3.76,1852.97,19.83,84.64,18.21,91.16
1990-04-14,41335.36,7.98,269.04,430.21,298.44,5.09,2391.65,39.87,54.94,35.85,85.18
1990-04-15,36647.91,8.26,,524.13,315.2,0.38,2178.41,9.04,63.87,14.16,93.25
1990-04-16,40216.4,7.38,179.27,460.09,348.63,4.44,1729.41,25.76,83.61,51.76,85.63
1990-04-17,39364.86,6.92,196.55,533.56,241.14,4.03,2029.51,18.71,88.1,20.43,90.48
1990-04-18,41518.59,7.41,227.52,510.58,283.42,3.27,1733.7,34.43,96.51,41.88,84.87
1990-04-19,44054.22,7.41,224.64,568.22,274.95,6.12,1544.73,30.9,111.48,36.17,86.25
1990-04-20,34759.13,7.44,170.18,448.44,256.76,,2103.9,11.19,51.38,7.7,93.43
1990-04-21,40238.57,7.17,181.75,362.39,223.58,4.23,2132.02,15.23,37.3,24.38,91.62
1990-04-22,39962.48,7.67,188.2,379.92,188.56,3.93,2109.21,15.35,42.6,14.38,91.84
1990-04-23,38838.84,7.66,313.49,457.72,271.01,1.62,1806.03,50.23,86.44,34.14,83.98
1990-04-24,37653.47,7.05,299.67,425.79,243.69,2.8,1866.64,39.41,88.11,36.75,86.85
1990-04-25,42517.0,7.71,224.26,546.06,284.71,5.94,2049.95,25.13,62.98,32.73,88.79
1990-04-26,39698.01,8.12,219.18,471.22,236.66,1.34,1978.3,17.28,67.22,18.79,92.12
1990-04-27,40380.67,7.55,181.0,648.66,209.54,3.35,1821.27,23.81,91.45,26.41,86.84
1990-04-28,38730.82,7.4,147.65,347.23,261.09,3.9,1576.19,14.05,39.84,30.57,90.48
1990-04-29,43773.08,7.46,212.36,487.16,259.86,7.12,1922.78,21.99,64.31,21.22,89.65
1990-04-30,39610.28,7.68,190.6,412.09,290.47,5.65,2115.8,20.09,66.96,23.84,89.46
1990-05-01,38616.88,6.98,231.61,474.63,374.09,3.66,1660.48,32.29,83.71,44.6,86.06
1990-05-02,42522.94,7.55,180.56,523.03,290.69,6.46,2027.75,17.41,76.29,30.19,90.36
1990-05-03,41619.83,7.38,203.06,336.69,291.49,3.39,1966.31,23.7,52.58,30.61,88.33
1990-05-04,43422.51,8.05,224.17,494.51,207.72,6.01,2050.03,23.45,73.97,23.39,89.54
1990-05-05,40821.96,7.45,224.93,597.43,189.73,2.46,2074.4,20.5,102.71,16.66,90.88
1990-05-06,39678.87,8.0,228.67,436.37,321.3,6.11,1761.11,24.35,54.14,17.17,89.35
1990-05-07,44348.03,7.17,176.84,504.29,219.76,3.89,1576.61,17.41,70.63,19.01,90.16
1990-05-08,37740.24,7.68,261.96,575.83,225.58,2.96,1793.3,28.4,91.05,27.56,89.16
1990-05-09,39674.5,7.6,205.95,496.44,,4.17,2077.83,20.82,75.61,23.9,89.89
1990-05-10,37778.36,7.24,249.2,453.44,262.26,4.92,1791.6,21.18,53.42,26.76,91.5
1990-05-11,37763.48,7.55,215.85,313.14,212.16,3.76,1761.19,20.31,47.59,22.93,90.59
1990-05-12,33764.38,7.86,161.12,503.46,230.4,5.33,1535.73,8.55,69.56,14.72,94.69
1990-05-13,40081.49,7.4,200.11,454.43,301.79,3.63,2250.53,17.29,53.74,25.74,91.36
1990-05-14,38849.33,6.99,232.89,409.33,221.36,5.43,2065.14,22.96,52.47,15.46,90.14
1990-05-15,36442.21,7.49,,506.92,206.07,5.16,2053.98,24.93,72.76,16.07,90.05
1990-05-16,38085.48,7.23,225.95,460.91,313.52,4.41,2093.55,29.58,89.35,34.63,86.91
1990-05-17,41027.59,7.4,277.53,450.84,284.55,3.84,2015.34,,81.99,44.28,85.64
1990-05-18,40966.89,7.48,248.28,508.47,220.85,4.73,1851.13,21.53,79.34,19.34,91.33
1990-05-19,43395.01,6.99,197.05,358.38,168.84,5.33,1867.25,13.86,46.9,9.27,92.97
1990-05-20,46418.93,7.02,234.1,529.01,208.8,7.59,1814.49,22.3,79.49,20.42,90.48
1990-05-21,40251.61,7.64,284.41,375.61,250.94,5.91,2426.95,42.5,64.82,36.39,85.06
1990-05-22,37369.62,7.34,294.21,444.79,316.94,5.96,2011.18,51.55,98.96,49.57,82.48
1990-05-23,34211.06,6.73,184.4,629.37,,9.13,1807.24,6.4,52.66,6.97,96.53
1990-05-24,40356.7,7.74,187.93,559.63,254.14,5.27,1993.1,18.17,54.63,20.89,90.33
1990-05-25,35471.89,7.58,261.38,465.64,274.64,5.23,1697.83,36.32,80.04,26.66,86.11
1990-05-26,35608.8,7.29,165.33,378.89,128.3,5.56,2200.9,3.69,21.05,3.85,97.77
1990-05-27,35283.12,7.1,157.84,411.21,284.18,2.99,1767.79,12.47,51.97,12.9,92.1
1990-05-28,38020.26,7.75,195.93,471.03,,3.83,2000.22,12.93,55.55,8.76,93.4
1990-05-29,42962.77,7.6,236.47,486.16,274.65,3.74,2113.2,29.04,100.41,39.04,87.72
1990-05-30,40497.46,8.21,219.92,480.66,272.99,5.47,1976.95,25.79,66.28,35.3,88.27
1990-05-31,38489.47,7.63,193.67,,301.85,4.24,1918.89,21.36,66.52,35.31,88.97
1990-06-01,34208.42,7.62,181.84,435.87,264.09,4.71,1902.16,21.08,69.52,32.48,88.41
1990-06-02,31228.53,7.45,173.42,335.76,123.46,6.13,1888.71,8.54,30.89,5.07,95.07
1990-06-03,35051.42,7.75,,403.98,197.27,5.79,1784.66,10.51,35.28,7.84,93.79
1990-06-04,37665.61,7.69,288.7,521.72,249.78,4.26,1810.1,25.63,83.41,13.41,91.12
1990-06-05,44446.53,7.88,228.03,379.45,245.75,3.5,2195.92,24.36,60.19,22.28,89.32
1990-06-06,39788.81,7.34,250.36,465.37,278.14,6.2,1878.29,42.75,108.65,47.19,82.93
1990-06-07,41279.21,7.37,195.09,407.03,283.28,5.66,1742.84,20.79,45.25,39.16,89.34
1990-06-08,35177.26,7.36,194.66,450.13,261.34,2.09,1796.74,7.47,27.4,7.84,96.16
1990-06-09,32051.84,7.74,169.07,400.88,215.41,4.03,2120.07,8.86,54.71,9.03,94.76
1990-06-10,32963.6,7.95,102.92,534.87,144.07,4.75,2035.12,5.74,67.41,6.07,94.42
1990-06-11,34994.6,7.36,156.24,484.4,217.59,5.67,2012.07,8.9,48.25,6.53,94.3
1990-06-12,44866.38,7.37,149.83,374.59,267.74,5.87,1848.5,15.12,56.31,17.69,89.91
1990-06-13,36267.16,7.59,136.13,516.74,202.02,4.93,2014.67,11.93,79.64,12.51,91.24
1990-06-14,40175.1,7.43,165.89,401.24,270.57,5.38,1771.29,15.9,38.89,28.43,90.42
1990-06-15,33290.5,7.79,243.04,392.93,269.21,4.6,1848.08,26.88,56.73,29.85,88.94
1990-06-16,37721.23,6.82,,440.99,225.1,3.49,2093.96,22.65,66.59,25.3,87.95
1990-06-17,36329.55,7.25,236.33,387.91,83.59,4.11,2074.86,17.13,49.0,6.52,92.75
1990-06-18,36012.22,7.27,214.27,502.26,174.84,4.53,1703.62,15.95,50.22,9.52,92.56
1990-06-19,37666.84,6.8,235.98,,328.12,4.45,1728.89,33.41,76.24,40.84,85.84
1990-06-20,36071.63,7.21,178.71,417.15,220.71,1.67,1921.74,12.44,48.1,17.97,93.04
1990-06-21,38299.24,7.23,221.41,400.2,147.06,3.9,2245.23,20.78,48.68,8.81,90.61
1990-06-22,33932.66,7.44,217.49,384.37,278.07,4.58,1516.89,19.92,63.11,22.12,90.84
1990-06-23,30545.15,7.83,164.63,486.57,214.12,4.08,1955.67,14.89,47.93,24.63,90.95
1990-06-24,30633.69,7.43,206.03,456.92,265.28,4.13,1624.79,12.74,44.87,14.03,93.81
1990-06-25,36290.25,7.19,214.97,550.0,238.9,5.23,1773.13,27.76,78.93,27.12,87.09
1990-06-26,41814.52,7.48,184.61,606.43,257.95,2.88,1827.11,21.42,107.68,22.34,88.4
1990-06-27,37802.07,7.81,166.18,378.81,255.69,2.06,1815.9,12.47,50.57,18.36,92.5
1990-06-28,35889.39,7.21,156.86,441.53,261.76,3.98,1793.24,7.28,48.42,7.85,95.36
1990-06-29,35437.77,7.23,190.23,332.07,318.99,5.65,1901.44,19.25,45.22,27.89,89.88
1990-06-30,37421.27,7.67,191.47,345.61,251.22,7.03,1792.95,15.29,40.97,24.16,92.01
1990-07-01,34405.76,7.43,153.91,,138.45,5.67,1607.51,7.65,35.57,9.42,95.03
1990-07-02,33818.86,7.69,191.27,346.69,240.53,2.3,2055.97,,57.49,17.58,89.44
1990-07-03,39674.52,7.5,219.01,364.44,282.66,4.15,2050.57,26.87,68.52,25.09,87.73
1990-07-04,37886.23,7.71,222.3,431.23,287.45,4.88,2068.63,30.78,77.37,35.06,86.16
1990-07-05,40130.13,7.19,247.8,341.8,205.16,4.77,1591.85,30.47,58.88,17.03,87.71
1990-07-06,34407.43,7.5,227.08,463.72,262.9,5.31,1959.78,22.06,69.96,17.36,90.28
1990-07-07,29107.4,7.44,140.16,326.17,243.26,3.12,2035.2,12.1,31.12,15.25,91.36
1990-07-08,28921.01,7.14,235.76,590.34,319.31,4.6,1693.76,27.46,93.34,39.81,88.35
1990-07-09,39282.83,7.03,166.95,379.47,180.67,5.13,1901.83,15.53,40.83,8.74,90.7
1990-07-10,40805.8,7.71,230.8,433.51,202.46,5.74,1876.75,19.88,59.3,13.24,91.39
1990-07-11,35341.52,7.39,,341.06,213.56,3.29,2268.43,,42.95,18.91,90.92
1990-07-12,33654.59,7.19,174.27,536.82,196.31,,2284.9,6.94,43.44,8.48,96.02
1990-07-13,37524.74,7.47,114.33,473.57,164.45,0.44,1567.13,4.88,55.23,4.93,95.73
1990-07-14,28743.96,7.84,164.43,401.65,,3.57,2398.79,3.29,20.08,3.09,98.0
1990-07-15,29627.4,6.82,117.5,289.88,178.04,3.71,1716.95,7.11,29.93,6.51,93.95
1990-07-16,35548.15,7.05,214.64,416.32,225.11,2.97,2096.13,19.04,47.37,22.01,91.13
1990-07-17,33741.35,7.22,242.59,340.5,197.18,4.75,2094.1,26.01,55.24,17.71,89.28
1990-07-18,35157.51,7.94,163.26,,308.53,4.42,1700.86,16.44,75.56,31.21,89.93
1990-07-19,33609.28,7.58,194.57,464.64,213.1,1.11,1998.65,16.26,65.47,16.8,91.64
1990-07-20,33451.46,7.73,,392.53,256.75,4.82,1878.49,12.92,40.37,23.8,91.24
1990-07-21,35588.93,7.16,143.78,201.01,201.48,3.11,2010.87,12.42,24.15,16.04,91.36
1990-07-22,31888.01,7.16,194.55,306.04,228.99,5.23,1946.13,21.31,43.52,14.14,89.04
1990-07-23,34858.14,7.63,174.83,440.49,215.29,2.58,2139.27,21.1,58.82,17.87,87.93
1990-07-24,28086.5,7.52,245.8,494.73,275.24,4.55,1915.08,32.52,73.81,31.71,86.77
1990-07-25,34342.47,7.66,169.71,490.82,218.26,4.08,1866.43,,41.6,11.04,93.99
1990-07-26,30889.76,7.44,,287.49,229.15,4.95,2119.21,25.51,53.88,21.1,88.1
1990-07-27,28106.43,7.58,171.83,397.95,209.51,4.69,2016.08,16.0,58.51,12.68,90.69
1990-07-28,28060.67,7.55,189.15,433.69,171.15,4.12,2046.36,4.67,36.77,5.36,97.53
1990-07-29,29947.22,7.73,147.35,249.91,204.47,2.2,1767.08,10.56,24.26,12.92,92.84
1990-07-30,35012.27,7.74,170.03,382.97,297.75,2.28,1690.95,14.67,47.05,33.56,91.37
1990-07-31,29601.16,7.01,176.49,420.24,196.0,3.62,1786.46,9.21,50.43,5.88,94.78
1990-08-01,33929.13,6.83,152.99,383.44,229.19,4.49,1775.84,8.59,38.32,6.88,94.38
1990-08-02,31321.03,7.8,198.33,260.66,258.05,3.59,2057.24,23.95,49.69,28.17,87.92
1990-08-03,30139.62,7.86,186.91,345.5,239.0,5.44,2095.2,15.81,43.41,27.98,91.54
1990-08-04,33069.02,7.19,177.85,331.23,179.37,4.08,1868.97,17.16,56.18,13.33,90.35
1990-08-05,31935.61,6.94,212.6,347.25,73.76,3.05,2186.18,4.25,17.36,2.21,98.0
1990-08-06,35654.66,7.53,218.34,335.79,215.27,4.08,2173.69,26.19,51.16,26.52,88.01
1990-08-07,32501.15,7.78,163.31,361.85,103.16,4.84,1948.68,10.29,23.46,4.17,93.7
1990-08-08,31140.33,8.04,191.24,393.6,271.38,4.99,1735.62,21.42,53.15,26.3,88.8
1990-08-09,31499.67,7.65,149.32,413.26,204.05,7.32,2215.08,13.54,57.49,18.45,90.93
1990-08-10,31254.79,7.39,161.0,339.05,227.71,3.5,1887.8,6.82,22.38,10.33,95.76
1990-08-11,30002.27,7.23,132.16,317.63,133.34,4.39,1925.23,2.64,27.94,4.0,98.0
1990-08-12,26487.21,7.5,211.64,356.34,106.31,5.14,1832.08,11.54,40.54,5.6,94.55
1990-08-13,31340.53,7.41,176.52,233.12,198.98,4.46,1722.04,16.54,29.61,21.07,90.63
1990-08-14,33083.6,7.2,165.03,418.71,196.81,3.75,1606.27,18.11,80.76,20.93,89.03
1990-08-15,40222.65,8.11,216.24,388.9,178.47,2.18,,18.33,48.81,12.13,91.52
1990-08-16,37251.84,8.04,91.5,377.73,195.65,3.73,1743.32,4.94,43.2,9.3,94.6
1990-08-17,27425.78,7.84,86.08,420.39,302.75,2.89,2511.91,5.5,42.84,24.89,93.61
1990-08-18,28076.92,7.22,177.45,202.49,207.05,1.91,1682.79,11.07,25.09,6.75,93.76
1990-08-19,24825.03,7.76,153.55,204.7,219.02,3.31,1648.52,7.93,17.02,21.12,94.84
1990-08-20,28780.55,7.69,169.12,379.87,220.92,2.93,2002.03,10.46,38.54,13.42,93.82
1990-08-21,32838.11,7.63,122.85,,260.67,5.38,2205.86,8.65,31.16,18.99,92.96
1990-08-22,35789.1,7.87,170.33,394.2,187.88,5.4,1912.92,15.1,50.66,14.22,91.14
1990-08-23,28944.43,7.69,234.33,336.07,95.3,3.14,2014.45,7.86,29.88,2.86,96.65
1990-08-24,27542.67,7.72,182.21,393.24,165.72,4.11,1531.29,10.33,39.97,4.97,94.33
1990-08-25,22026.17,7.69,152.39,,202.1,1.71,1764.5,5.38,40.7,8.0,96.47
1990-08-26,28265.83,7.6,132.99,370.6,124.31,3.76,1685.28,2.95,20.02,3.73,97.78
1990-08-27,26913.53,6.96,143.53,336.42,171.24,5.1,1520.99,11.02,35.32,10.76,92.32
1990-08-28,29860.85,7.53,91.81,225.12,159.28,5.74,1923.4,5.99,12.58,14.26,93.47
1990-08-29,29108.74,7.33,177.28,430.37,260.42,3.43,1451.43,17.08,64.02,12.58,90.37
1990-08-30,30426.71,7.12,190.99,448.31,217.97,6.08,1635.56,18.52,63.8,25.23,90.3
1990-08-31,23819.89,8.0,95.47,386.36,200.09,2.23,1792.56,2.17,28.69,6.0,97.73
1990-09-01,23665.14,8.02,120.63,265.98,190.19,2.63,1733.74,4.37,19.14,5.71,96.38
1990-09-02,34750.21,7.91,105.24,378.67,163.01,5.56,1979.28,2.36,20.75,4.89,97.76
1990-09-03,25857.66,7.58,121.01,409.84,184.89,7.01,1961.12,4.4,31.73,6.7,96.37
1990-09-04,27788.6,7.91,165.73,476.84,133.99,5.24,2078.76,6.88,28.51,4.02,95.85
1990-09-05,36890.58,7.5,92.91,310.4,91.44,4.44,2050.48,1.86,22.45,3.77,98.0
1990-09-06,39076.06,7.56,180.57,342.29,188.09,1.21,2128.16,11.35,28.45,10.19,93.71
1990-09-07,25240.68,7.17,174.75,389.05,,1.47,1899.62,9.8,33.18,10.47,94.39
1990-09-08,26634.88,7.62,132.81,327.21,213.91,4.69,1960.69,3.19,21.02,6.42,97.6
1990-09-09,29071.63,7.52,56.82,249.08,232.77,3.96,2002.3,1.8,19.4,6.98,96.84
1990-09-10,34601.75,7.11,117.9,374.57,244.11,2.84,1928.33,7.91,21.92,8.67,93.29
1990-09-11,27825.44,7.48,205.06,,139.97,4.6,1820.56,14.72,51.81,9.61,92.82
1990-09-12,30362.47,7.48,66.76,374.13,171.63,4.67,1833.51,1.34,20.22,5.15,98.0
1990-09-13,32422.83,8.04,145.11,369.92,200.71,5.92,1736.49,5.06,33.24,6.02,96.51
1990-09-14,29801.22,7.77,105.35,315.18,279.74,4.7,1984.32,6.2,19.9,18.66,94.11
1990-09-15,26364.35,7.5,168.11,423.38,224.04,6.34,1881.2,6.81,26.57,7.99,95.95
1990-09-16,27410.41,7.57,118.45,261.11,210.47,4.51,1767.37,10.5,37.14,17.82,91.13
1990-09-17,25067.69,7.51,165.42,301.45,154.15,4.33,1767.55,8.14,23.8,8.19,95.08
1990-09-18,29860.07,7.44,180.29,361.76,143.38,6.1,1657.92,9.65,31.96,5.01,94.65
1990-09-19,30099.64,7.18,226.93,426.84,221.32,3.03,2095.77,23.24,65.21,19.42,89.76
1990-09-20,30599.82,7.45,148.92,247.23,128.0,8.72,1915.72,2.98,12.36,5.35,98.0
1990-09-21,26655.47,7.28,158.64,239.23,153.62,5.06,1727.44,7.8,19.47,11.09,95.08
